,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25
29,-0.6749340187905523,-0.14702542343084998,0.4914294527201998,0.2078025073533134,-0.5501152829365389,-0.07722104522304557,-2.5322460852196853,-0.8320613048498566,0.8407344821295493,0.19548173155329082,0.4258436586298291,-0.09884520123930605,-1.7760117540484022,-0.22247489677826537,1.991553302204734,2.046862195719558,-0.5321685631271895,0.4182057558879721,-1.2926253471522626,-0.6073544332122114,0.12617790366196718,0.5697603571986469,-0.4030759890650308,0.4359753895000459,0.6820694900626313
535,0.9165676137777012,-0.25876441187237875,0.21655473837820582,0.05469486537462616,-0.4552205808827054,-1.9037594056445934,-1.2465619661594265,-1.742082457705964,-0.49705248683568226,-0.30746090001514215,-0.4828777192911349,0.3899455993834367,1.2228079221334083,0.807739555984151,-0.08081557316355767,1.5803397708229694,0.8530151882434975,0.04371039699198385,0.4414197598929505,-0.27811986436633407,-0.7411626686348293,-1.5722305440781297,1.0574272871141361,0.07488758437155775,-1.631067625194979
695,0.30315382837627336,1.7222673909870256,-0.7614555567638507,0.45170020097593927,-1.298741686610492,1.7578268995019506,0.24552817205616823,-0.3340530820568455,1.4861513251433442,-1.313272287252248,-0.5703967395967432,1.4588191358564693,1.547640773595271,-1.4089842999517348,-0.7496669509459138,0.8240865805442636,-0.1971079879373953,-1.1175860426233242,-0.22339841634209087,0.7580657061739681,0.5906880448441909,0.6565060831752271,-0.6352613845586089,-0.2314180612049924,0.558558153281572
557,-0.11399655283962636,-0.01833806663370996,-0.695680744166515,-0.10861665493834241,0.13480142329020342,0.4189116113727865,-1.03008605490443,-1.2255347222149022,-0.11741030034486948,1.3561067142103251,-3.033989362145269,-0.5001526812147293,-1.6556393601700825,-0.19260643876080602,1.9529445539995067,-0.7728337308889638,0.8730660663320997,0.2997948741631638,-0.11607081012048345,0.6089844464924351,0.9363801346166222,0.5292999339436693,-0.3399837223515192,0.532022432272786,2.445769569113684
836,-0.07618761129101755,1.2285720820619974,0.06173467646029673,1.3354738978506546,-0.09762069577407609,1.7845588888535862,-0.07728523746629531,-0.5465482962364754,2.2022432733729134,-1.8256151785646464,-0.1654240521818934,0.45514638094951854,-0.5011771369530351,-0.3610871633868695,-1.4068105446048718,-0.39506690612720935,-0.6958096106261655,-1.3275074905374307,-0.7753790296726064,-0.15932857750935098,-0.6829351063151862,0.17319764270874738,-0.3287248129662911,0.7727283779193933,2.3744662832839922
596,-1.0819458791789647,-0.15843664412723335,-0.7658840683206206,1.5676503597875036,-0.6626433938280276,1.2070265134276854,-1.7547584182762586,-0.327327440521436,-0.3169070486057018,0.30369259392119685,1.5826190437340513,1.5861972650791303,-0.3150636095991657,0.7123833448664562,2.003311880382046,-0.7876615918104071,1.1806432316604467,0.08479763391309508,-1.014477491016303,0.12209209645108472,2.1380552116340046,0.455902633167647,-0.9529688335074052,-0.041679778129414556,0.646870464896778
165,-1.0293715081820716,1.5337277099164992,1.0599363840466218,-1.7073579575929467,-0.6292633936927887,-0.5482872964906009,0.26125053123385605,1.1126883749899252,-0.5358014630522978,0.6835693232004776,0.1600182258527877,-1.3659557112005343,1.1173988159024608,-1.77623523289832,-1.5223591862178911,0.40865281148067084,1.2358116200069387,0.501782736167545,-1.1165244399486591,-0.15589817793666752,0.14338846734225108,0.6170059495766975,-1.3526702858435344,1.2119439853864005,-0.36927713924620315
918,0.9022713999434526,0.4096853437465497,-0.7424867777695996,1.4930031044432035,-0.19609321067693788,1.031653774575175,0.5327832093226242,-0.23389780045359396,-0.5969935884209324,-3.601085104459518,-1.4089191026905246,-0.70128957079155,0.8507193944606469,1.542276627661302,0.5430322792896524,0.9943515198154235,0.618360566259665,0.44489589500988425,-0.16013013959793715,1.455600479257298,-0.2151138001704899,-0.2145376645179636,-0.4998724304108518,-0.8758148246462933,-0.8055266825105205
495,1.635797806135815,-2.0993562644190256,-1.37383482489866,-0.11480224875906367,2.3921096352739926,0.7114105794654951,-1.1979664292172616,0.19259691873130513,0.683223014788808,0.1158245872269461,3.112910201043841,0.3896045240919878,-0.8480655980305086,-0.14720527868559727,0.06936980265806943,0.5648423586001226,-0.6573725539947244,0.8080361894020714,0.5667717261841796,-0.048965030858450255,0.2867741123825862,1.3784696274615047,-0.22104246353705057,-2.220421008935126,0.887079776446287
824,-0.3521804481195873,-2.783716223798099,-0.05255416192019341,-0.7415712588935076,-0.4786921889391912,0.5079326699620159,-0.7740256503626058,0.7656431064826952,-0.023870968309452716,-0.4901909062286882,-0.6604473680075832,0.908090298262139,0.5095013828244059,0.1518475496415706,-1.5648544249554606,-0.6860615265436788,-0.5854450209199682,-0.7794562012522323,1.6888221923026767,-1.097643363578611,0.7126620321270069,1.153327763396889,-0.07051955272741914,1.2084399891360882,-0.6760510882885871
